CustomerID,support_interacation_count,problem type,support_resolution_time,resolution_satisfication
0001,6,Other,4,4
0002,4,Side Effects,20,5
0003,8,Product Quality,12,6
0004,3,Product Quality,7,7
0005,9,Late Delivery,11,8
0006,2,Other,20,3
0007,10,Other,24,5
0008,2,Late Delivery,2,10
0009,6,Product Quality,21,3
0010,7,Side Effects,8,9
0011,6,Product Quality,7,4
0012,9,Wrong Item Received,14,6
0013,7,Product Quality,14,10
0014,9,Product Quality,11,8
0015,1,Side Effects,1,2
0016,3,Product Quality,19,9
0017,5,Side Effects,21,2
0018,9,Product Quality,3,4
0019,10,Late Delivery,14,4
0020,8,Product Quality,17,10
0021,3,Product Quality,21,5
0022,1,Side Effects,23,7
0023,10,Product Quality,20,4
0024,9,Product Quality,16,5
0025,7,Product Quality,9,4
0026,4,Late Delivery,22,4
0027,2,Late Delivery,15,5
0028,10,Wrong Item Received,3,7
0029,2,Side Effects,14,6
0030,6,Other,4,6
0031,4,Product Quality,3,9
0032,1,Late Delivery,24,7
0033,1,Side Effects,17,8
0034,6,Side Effects,7,8
0035,1,Product Quality,13,1
0036,10,Late Delivery,8,9
0037,10,Wrong Item Received,13,2
0038,1,Product Quality,10,3
0039,3,Product Quality,8,7
0040,10,Product Quality,21,8
0041,5,Late Delivery,15,10
0042,10,Side Effects,5,4
0043,3,Late Delivery,11,5
0044,6,Product Quality,14,7
0045,4,Product Quality,11,8
0046,6,Product Quality,4,8
0047,6,Late Delivery,18,9
0048,1,Late Delivery,4,3
0049,7,Product Quality,15,5
0050,1,Product Quality,11,4
0051,4,Product Quality,12,7
0052,10,Product Quality,4,2
0053,8,Late Delivery,24,9
0054,5,Product Quality,20,5
0055,1,Product Quality,16,8
0056,10,Late Delivery,4,1
0057,2,Side Effects,7,5
0058,9,Late Delivery,9,3
0059,2,Wrong Item Received,12,10
0060,3,Product Quality,22,10
0061,9,Product Quality,9,5
0062,2,Product Quality,16,2
0063,7,Product Quality,8,3
0064,2,Side Effects,1,5
0065,1,Product Quality,1,10
0066,10,Product Quality,13,5
0067,5,Product Quality,8,4
0068,8,Late Delivery,16,9
0069,3,Side Effects,15,7
0070,3,Side Effects,3,1
0071,2,Product Quality,1,9
0072,4,Product Quality,24,6
0073,6,Product Quality,24,9
0074,9,Product Quality,9,7
0075,5,Product Quality,4,7
0076,2,Product Quality,10,8
0077,9,Late Delivery,18,3
0078,3,Product Quality,12,1
0079,1,Late Delivery,8,7
0080,3,Late Delivery,20,5
0081,10,Late Delivery,19,4
0082,5,Product Quality,16,2
0083,10,Side Effects,3,5
0084,4,Product Quality,5,5
0085,7,Product Quality,16,4
0086,10,Wrong Item Received,6,3
