CustomerID,website_logins/day,browsing_time/hr,email_open_rate
0001,2,4.3,4
0002,3,2.3,0
0003,6,3.7,6
0004,7,1.1,4
0005,10,3.1,3
0006,8,5.2,5
0007,1,1.3,6
0008,3,3.4,5
0009,3,1.8,6
0010,5,4.9,6
0011,1,3.8,4
0012,5,0.3,1
0013,4,0.4,6
0014,7,4.1,4
0015,4,2.1,6
0016,8,3.6,2
0017,1,2.8,1
0018,9,5.4,6
0019,5,2.2,2
0020,3,1.9,6
0021,6,1.2,2
0022,7,4.9,4
0023,2,5,5
0024,3,5.8,5
0025,3,3.9,2
0026,5,1.6,2
0027,0,5.2,6
0028,2,3.4,4
0029,8,5.6,5
0030,5,2.1,4
0031,7,0,4
0032,0,3.4,0
0033,9,1.9,6
0034,6,3.3,6
0035,3,2,2
0036,9,4.4,2
0037,8,3.2,6
0038,2,4.2,2
0039,1,4.3,5
0040,4,1,3
0041,10,5.3,3
0042,10,4.9,1
0043,1,5.7,2
0044,3,0.7,2
0045,7,2.3,0
0046,7,2.9,2
0047,4,1.6,6
0048,1,0,3
0049,4,0.8,0
0050,9,4.6,2
0051,3,5.4,6
0052,5,3.9,6
0053,10,2.7,2
0054,10,3.7,5
0055,6,6,5
0056,2,3.7,0
0057,2,2.6,1
0058,0,1.5,3
0059,2,2.6,6
0060,1,0,3
0061,10,0.9,4
0062,6,2,1
0063,0,2.9,0
0064,2,1.6,0
0065,10,4.2,6
0066,6,1.7,0
0067,5,2.3,1
0068,7,2.6,4
0069,1,0,6
0070,7,5.4,6
0071,10,1.7,2
0072,1,5.3,1
0073,0,0.7,0
0074,0,2.1,5
0075,2,5.4,2
0076,1,3.6,3
0077,10,5.3,4
0078,10,3.6,5
0079,7,3.3,0
0080,3,1.5,1
0081,9,0,3
0082,8,3.7,4
0083,10,0.8,3
0084,7,3.8,5
0085,5,3.4,5
0086,10,2.4,4
0087,6,0.5,5
0088,3,3.1,6
0089,4,2.1,0
0090,7,2.4,3
0091,2,4.4,6
0092,8,5,0
0093,1,3.5,6
0094,2,5.3,1
0095,7,0.2,2
0096,5,2.2,3
0097,5,0.2,1
0098,0,0.4,1
0099,0,1.2,0
0100,1,2.1,3
0101,5,3.8,5
0102,10,3.9,6
0103,0,2.6,3
0104,9,5,1
0105,1,2,1
0106,0,4.5,1
0107,4,0.2,4
0108,7,1.7,2
0109,9,5,2
0110,2,3.5,1
0111,8,2.1,5
0112,0,1,1
0113,5,5.6,6
0114,7,3.2,6
0115,9,5.5,2
0116,8,2.4,1
0117,3,2.2,2
0118,1,4,3
0119,10,0.5,2
0120,6,5.5,1
0121,6,3.4,0
0122,7,2.6,5
0123,2,0.1,1
0124,1,4.3,6
0125,2,3,6
0126,9,5.8,1
0127,6,1.9,6
0128,8,1.5,6
0129,9,5.1,5
0130,4,5.7,2
0131,10,1.9,0
0132,2,1.6,2
0133,2,3.4,2
0134,3,5.4,1
0135,5,4.9,2
0136,0,0.7,4
0137,7,1.3,6
0138,1,2.5,0
0139,1,5.5,1
0140,7,3.1,2
0141,9,5.6,4
0142,6,1.6,4
0143,1,5.1,0
0144,2,0.4,3
0145,10,4.7,2
0146,7,2.5,0
0147,3,2.4,3
0148,7,5.1,3
0149,6,5.4,4
0150,8,2.7,0
0151,7,1.3,2
0152,7,0.4,5
0153,1,1.5,0
0154,6,3.3,4
0155,9,5.3,3
0156,5,4,6
0157,9,2.5,4
0158,10,4.6,4
0159,5,3.2,5
0160,2,3.7,3
0161,10,2.3,1
0162,10,4.5,1
0163,4,2.6,1
0164,3,5.8,1
0165,7,4.5,6
0166,3,1.7,0
0167,1,1.5,4
0168,8,0.1,3
0169,0,3.1,1
0170,8,1.2,0
0171,5,5.9,5
0172,0,5.5,2
0173,4,3.8,2
0174,0,3.2,3
0175,3,1.1,1
0176,8,5.8,1
0177,9,1.5,2
0178,5,5.8,2
0179,8,0.4,5
0180,5,4.9,1
0181,5,0.3,5
0182,2,0.1,4
0183,9,2.1,6
0184,3,1.6,5
0185,4,5.9,3
0186,3,0.2,5
0187,5,3.4,1
0188,1,3.1,1
0189,5,4.3,2
0190,6,4.2,3
0191,1,1.9,2
0192,4,4.8,0
0193,8,3.8,0
0194,7,2,1
0195,9,0.7,6
0196,1,4.5,5
0197,8,4.9,1
0198,1,1.6,0
0199,8,3.1,0
0200,6,4.8,0
0201,7,4.9,0
0202,5,1.6,2
0203,4,5.6,5
0204,5,3.2,5
0205,0,3,3
0206,4,5.3,5
0207,8,0.9,5
0208,8,0.4,2
0209,6,3.5,0
0210,1,2.1,6
0211,9,1,2
0212,10,2.6,3
0213,9,2.9,2
0214,5,2.4,3
0215,1,2.2,5
0216,1,4.9,1
0217,6,3.1,6
0218,7,4.2,4
0219,0,5.7,3
0220,1,4.3,0
0221,5,2,1
0222,5,0.7,3
0223,5,1.6,6
0224,7,3.1,1
0225,1,1.2,6
0226,10,5.7,1
0227,8,2.5,0
0228,1,2.6,4
0229,8,0.2,4
0230,8,4.3,2
0231,1,3.5,4
0232,5,2.6,2
0233,0,4.6,1
0234,2,5.7,2
0235,10,4.8,2
0236,0,4.9,1
0237,1,3.6,1
0238,6,1.2,0
0239,9,4.9,3
0240,10,4.3,6
0241,9,2.6,0
0242,2,1,4
0243,10,2.2,2
0244,4,3.1,6
0245,4,3,3
0246,8,4.7,1
0247,5,0.7,3
0248,1,2.4,4
0249,6,4,2
0250,10,1.4,0
0251,10,1.3,0
0252,5,4.6,3
0253,3,4.1,5
0254,2,3.9,4
0255,1,2.5,0
0256,6,0.7,0
0257,5,5.1,3
