CustomerID,Date,Product Type,Channel Type,Order Amount
0001,10-04-2023,Skincare,Online,5638
0002,10-06-2023,Makeup,Offline,820
0003,03-08-2024,Skincare,Online,7526
0004,02-06-2024,Skincare,Online,5696
0005,02-10-2023,Haircare,Online,8886
0006,11-03-2024,Haircare,Online,2472
0007,01-12-2024,Skincare,Online,7399
0008,09-09-2023,Makeup,Online,3375
0009,11/24/2023,Skincare,Online,4256
0010,08-09-2023,Skincare,Offline,6333
0011,11-11-2024,Makeup,Offline,7366
0012,1/26/2024,Makeup,Online,1221
0013,4/27/2024,Skincare,Online,3452
0014,9/20/2024,Haircare,Online,4673
0015,12-05-2023,Makeup,Online,3571
0016,4/22/2024,Makeup,Online,9892
0017,8/17/2024,Skincare,Offline,5511
0018,4/24/2023,Makeup,Online,8331
0019,5/26/2023,Haircare,Online,4208
0020,3/23/2023,Makeup,Offline,4167
0021,03-08-2024,Makeup,Online,9478
0022,7/21/2024,BodyCare,Online,6780
0023,02-04-2023,BodyCare,Online,3404
0024,1/17/2024,Makeup,Online,7393
0025,10/30/2024,Skincare,Online,2978
0026,7/24/2024,Skincare,Online,1161
0027,02-05-2024,BodyCare,Offline,3573
0028,08-03-2023,Skincare,Offline,812
0029,2/24/2024,BodyCare,Online,2371
0030,7/15/2024,Makeup,Online,3293
0031,01-05-2023,Makeup,Offline,5319
0032,7/19/2023,Makeup,Offline,9961
0033,11/28/2024,Makeup,Online,5953
0034,04-07-2024,Makeup,Online,8216
0035,6/25/2024,Makeup,Offline,5155
0036,4/21/2024,Makeup,Online,2668
0037,4/14/2024,Makeup,Online,9156
0038,12/27/2023,Skincare,Online,1403
0039,3/21/2023,Makeup,Offline,5997
0040,5/29/2024,Skincare,Offline,9974
0041,9/29/2024,Skincare,Online,2173
0042,09-06-2024,Makeup,Online,6417
0043,02-10-2024,Makeup,Online,4677
0044,7/18/2024,Makeup,Online,8066
0045,4/23/2024,Makeup,Online,10173
0046,02-09-2023,Makeup,Offline,7620
0047,1/23/2024,Makeup,Online,2932
0048,4/27/2024,Makeup,Offline,2009
0049,7/31/2024,Skincare,Online,6594
